"","group","playerID","round","contribution","Payoff","TotalPayoff","age","colorPreference","gender","major"
"80"," 9",769,"1",NA,19.5,19.5,24,"red","male","business"
"81"," 9",769,"2",10,15.5,35,24,"red","male","business"
"82"," 9",769,"3",NA,11.5,46.5,24,"red","male","business"
"83"," 9",769,"4",10,14,60.5,24,"red","male","business"
"84"," 9",769,"5",10,13.5,74,24,"red","male","business"
"85"," 6",771,"1",8,12.5,12.5,23,"blue","male","econ"
"86"," 6",771,"2",9,13.5,26,23,"blue","male","econ"
"87"," 6",771,"3",3,17.5,43.5,23,"blue","male","econ"
"88"," 6",771,"4",5,16,59.5,23,"blue","male","econ"
"89"," 6",771,"5",0,19.5,79,23,"blue","male","econ"
"90"," 8",486,"1",10,10,10,23,"blue","female","infosys"
"91"," 8",486,"2",0,19,29,23,"blue","female","infosys"
"92"," 8",486,"3",5,13.5,42.5,23,"blue","female","infosys"
"93"," 8",486,"4",0,12,54.5,23,"blue","female","infosys"
"94"," 8",486,"5",0,12.5,67,23,"blue","female","infosys"
"95"," 5",487,"1",NA,18,18,25,"red","male","business"
"96"," 5",487,"2",8,14,32,25,"red","male","business"
"97"," 5",487,"3",NA,13,45,25,"red","male","business"
"98"," 5",487,"4",10,14,59,25,"red","male","business"
"99"," 5",487,"5",10,15.5,74.5,25,"red","male","business"
"100"," 8",488,"1",0,20,20,21,"red","male","econ"
"101"," 8",488,"2",0,19,39,21,"red","male","econ"
"102"," 8",488,"3",0,18.5,57.5,21,"red","male","econ"
"103"," 8",488,"4",0,12,69.5,21,"red","male","econ"
"104"," 8",488,"5",0,12.5,82,21,"red","male","econ"
"105"," 4",489,"1",10,12.5,12.5,26,"blue","female","business"
"106"," 4",489,"2",8,15,27.5,26,"blue","female","business"
"107"," 4",489,"3",7,15.5,43,26,"blue","female","business"
"108"," 4",489,"4",8,10,53,26,"blue","female","business"
"109"," 4",489,"5",8,13.5,66.5,26,"blue","female","business"
"110"," 2",490,"1",3,15.5,15.5,24,"red","male","econ"
"111"," 2",490,"2",4,13,28.5,24,"red","male","econ"
"112"," 2",490,"3",8,12.5,41,24,"red","male","econ"
"113"," 2",490,"4",7,15,56,24,"red","male","econ"
"114"," 2",490,"5",10,11,67,24,"red","male","econ"
"115"," 7",491,"1",5,7.5,7.5,27,"blue","male","business"
"116"," 7",491,"2",0,11,18.5,27,"blue","male","business"
"117"," 7",491,"3",0,15,33.5,27,"blue","male","business"
"118"," 7",491,"4",3,10.5,44,27,"blue","male","business"
"119"," 7",491,"5",0,10,54,27,"blue","male","business"
"120"," 4",492,"1",5,17.5,17.5,23,"blue","male","infosys"
"121"," 4",492,"2",8,15,32.5,23,"blue","male","infosys"
"122"," 4",492,"3",10,12.5,45,23,"blue","male","infosys"
"123"," 4",492,"4",2,16,61,23,"blue","male","infosys"
"124"," 4",492,"5",0,21.5,82.5,23,"blue","male","infosys"
"125"," 5",493,"1",7,11,11,25,"blue","male","infosys"
"126"," 5",493,"2",7,15,26,25,"blue","male","infosys"
"127"," 5",493,"3",10,11,37,25,"blue","male","infosys"
"128"," 5",493,"4",10,14,51,25,"blue","male","infosys"
"129"," 5",493,"5",10,15.5,66.5,25,"blue","male","infosys"
"130"," 6",494,"1",4,16.5,16.5,24,"red","female","business"
"131"," 6",494,"2",6,16.5,33,24,"red","female","business"
"132"," 6",494,"3",8,12.5,45.5,24,"red","female","business"
"133"," 6",494,"4",10,11,56.5,24,"red","female","business"
"134"," 6",494,"5",10,9.5,66,24,"red","female","business"
"135"," 1",495,"1",6,11,11,22,"blue","female","infosys"
"136"," 1",495,"2",10,10,21,22,"blue","female","infosys"
"137"," 1",495,"3",10,11,32,22,"blue","female","infosys"
"138"," 1",495,"4",10,7.5,39.5,22,"blue","female","infosys"
"139"," 1",495,"5",NA,5,44.5,22,"blue","female","infosys"
"140"," 5",496,"1",4,14,14,25,"red","male","other"
"141"," 5",496,"2",2,20,34,25,"red","male","other"
"142"," 5",496,"3",4,17,51,25,"red","male","other"
"143"," 5",496,"4",1,23,74,25,"red","male","other"
"144"," 5",496,"5",4,21.5,95.5,25,"red","male","other"
"145"," 3",497,"1",6,14.5,14.5,23,"red","male","business"
"146"," 3",497,"2",5,14,28.5,23,"red","male","business"
"147"," 3",497,"3",8,18,46.5,23,"red","male","business"
"148"," 3",497,"4",10,15,61.5,23,"red","male","business"
"149"," 3",497,"5",10,12,73.5,23,"red","male","business"
"150"," 7",498,"1",0,12.5,12.5,21,"red","female","other"
"151"," 7",498,"2",0,11,23.5,21,"red","female","other"
"152"," 7",498,"3",0,15,38.5,21,"red","female","other"
"153"," 7",498,"4",0,13.5,52,21,"red","female","other"
"154"," 7",498,"5",0,10,62,21,"red","female","other"
"155"," 4",499,"1",5,17.5,17.5,25,"blue","female","business"
"156"," 4",499,"2",5,18,35.5,25,"blue","female","business"
"157"," 4",499,"3",5,17.5,53,25,"blue","female","business"
"158"," 4",499,"4",5,13,66,25,"blue","female","business"
"159"," 4",499,"5",10,11.5,77.5,25,"blue","female","business"
"160"," 7",500,"1",0,12.5,12.5,24,"red","male","infosys"
"161"," 7",500,"2",2,9,21.5,24,"red","male","infosys"
"162"," 7",500,"3",0,15,36.5,24,"red","male","infosys"
"163"," 7",500,"4",0,13.5,50,24,"red","male","infosys"
"164"," 7",500,"5",0,10,60,24,"red","male","infosys"
"165"," 8",501,"1",5,15,15,23,"blue","female","infosys"
"166"," 8",501,"2",8,11,26,23,"blue","female","infosys"
"167"," 8",501,"3",10,8.5,34.5,23,"blue","female","infosys"
"168"," 8",501,"4",4,8,42.5,23,"blue","female","infosys"
"169"," 8",501,"5",0,12.5,55,23,"blue","female","infosys"
"170"," 2",502,"1",5,13.5,13.5,22,"blue","female","other"
"171"," 2",502,"2",2,15,28.5,22,"blue","female","other"
"172"," 2",502,"3",1,19.5,48,22,"blue","female","other"
"173"," 2",502,"4",6,16,64,22,"blue","female","other"
"174"," 2",502,"5",1,20,84,22,"blue","female","other"
"175"," 6",503,"1",5,15.5,15.5,22,"blue","female","business"
"176"," 6",503,"2",8,14.5,30,22,"blue","female","business"
"177"," 6",503,"3",10,10.5,40.5,22,"blue","female","business"
"178"," 6",503,"4",4,17,57.5,22,"blue","female","business"
"179"," 6",503,"5",9,10.5,68,22,"blue","female","business"
"180","11",504,"1",5,11,11,22,"blue","male","business"
"181","11",504,"2",4,12.5,23.5,22,"blue","male","business"
"182","11",504,"3",3,12,35.5,22,"blue","male","business"
"183","11",504,"4",0,13.5,49,22,"blue","male","business"
"184","11",504,"5",0,12.5,61.5,22,"blue","male","business"
"185"," 9",505,"1",4,15.5,15.5,24,"red","female","other"
"186"," 9",505,"2",7,18.5,34,24,"red","female","other"
"187"," 9",505,"3",7,14.5,48.5,24,"red","female","other"
"188"," 9",505,"4",5,19,67.5,24,"red","female","other"
"189"," 9",505,"5",7,16.5,84,24,"red","female","other"
"190"," 9",506,"1",7,12.5,12.5,24,"blue","male","other"
"191"," 9",506,"2",7,18.5,31,24,"blue","male","other"
"192"," 9",506,"3",9,12.5,43.5,24,"blue","male","other"
"193"," 9",506,"4",6,18,61.5,24,"blue","male","other"
"194"," 9",506,"5",7,16.5,78,24,"blue","male","other"
"195","10",507,"1",4,17,17,23,"red","female","business"
"196","10",507,"2",2,13,30,23,"red","female","business"
"197","10",507,"3",9,9.5,39.5,23,"red","female","business"
"198","10",507,"4",9,10.5,50,23,"red","female","business"
"199","10",507,"5",0,14.5,64.5,23,"red","female","business"
"200","10",508,"1",10,11,11,21,"red","male","business"
"201","10",508,"2",0,15,26,21,"red","male","business"
"202","10",508,"3",0,18.5,44.5,21,"red","male","business"
"203","10",508,"4",0,19.5,64,21,"red","male","business"
"204","10",508,"5",0,14.5,78.5,21,"red","male","business"
"205","10",509,"1",2,19,19,27,"red","female","business"
"206","10",509,"2",1,14,33,27,"red","female","business"
"207","10",509,"3",2,16.5,49.5,27,"red","female","business"
"208","10",509,"4",3,16.5,66,27,"red","female","business"
"209","10",509,"5",3,11.5,77.5,27,"red","female","business"
"210","11",510,"1",0,16,16,27,"red","female","business"
"211","11",510,"2",2,14.5,30.5,27,"red","female","business"
"212","11",510,"3",2,13,43.5,27,"red","female","business"
"213","11",510,"4",2,11.5,55,27,"red","female","business"
"214","11",510,"5",2,10.5,65.5,27,"red","female","business"
"215","11",511,"1",0,16,16,24,"blue","male","business"
"216","11",511,"2",0,16.5,32.5,24,"blue","male","business"
"217","11",511,"3",0,15,47.5,24,"blue","male","business"
"218","11",511,"4",0,13.5,61,24,"blue","male","business"
"219","11",511,"5",0,12.5,73.5,24,"blue","male","business"
"220","11",512,"1",7,9,9,25,"blue","male","infosys"
"221","11",512,"2",7,9.5,18.5,25,"blue","male","infosys"
"222","11",512,"3",5,10,28.5,25,"blue","male","infosys"
"223","11",512,"4",5,8.5,37,25,"blue","male","infosys"
"224","11",512,"5",3,9.5,46.5,25,"blue","male","infosys"
"225","12",513,"1",3,14,14,22,"blue","female","business"
"226","12",513,"2",5,14,28,22,"blue","female","business"
"227","12",513,"3",6,12.5,40.5,22,"blue","female","business"
"228","12",513,"4",5,12,52.5,22,"blue","female","business"
"229","12",513,"5",2,12.5,65,22,"blue","female","business"
"230","12",514,"1",4,13,13,25,"blue","male","infosys"
"231","12",514,"2",3,16,29,25,"blue","male","infosys"
"232","12",514,"3",4,14.5,43.5,25,"blue","male","infosys"
"233","12",514,"4",4,13,56.5,25,"blue","male","infosys"
"234","12",514,"5",3,11.5,68,25,"blue","male","infosys"
"235","12",515,"1",6,11,11,21,"red","female","business"
"236","12",515,"2",7,12,23,21,"red","female","business"
"237","12",515,"3",1,17.5,40.5,21,"red","female","business"
"238","12",515,"4",2,15,55.5,21,"red","female","business"
"239","12",515,"5",0,14.5,70,21,"red","female","business"
"240","12",516,"1",1,16,16,24,"blue","male","business"
"241","12",516,"2",3,16,32,24,"blue","male","business"
"242","12",516,"3",6,12.5,44.5,24,"blue","male","business"
"243","12",516,"4",3,14,58.5,24,"blue","male","business"
"244","12",516,"5",4,10.5,69,24,"blue","male","business"
"245","13",517,"1",0,15,15,24,"red","male","business"
"246","13",517,"2",0,18.5,33.5,24,"red","male","business"
"247","13",517,"3",0,19.5,53,24,"red","male","business"
"248","13",517,"4",0,11,64,24,"red","male","business"
"249","13",517,"5",0,13,77,24,"red","male","business"
"250","13",518,"1",4,11,11,22,"red","female","econ"
"251","13",518,"2",8,10.5,21.5,22,"red","female","econ"
"252","13",518,"3",10,9.5,31,22,"red","female","econ"
"253","13",518,"4",2,9,40,22,"red","female","econ"
"254","13",518,"5",6,7,47,22,"red","female","econ"
