"","group","playerID","round","contribution","Payoff","TotalPayoff","age","colorPreference","gender","major"
"38"," 7",263,"3",10,13,47,23,"blue","female","business"
"39"," 7",263,"4",1,23,70,23,"blue","female","business"
"40"," 7",263,"5",1,19,89,23,"blue","female","business"
"41"," 1",264,"1",0,14.5,14.5,23,"blue","female","business"
"42"," 1",264,"2",0,14.5,29,23,"blue","female","business"
"43"," 1",264,"3",0,15,44,23,"blue","female","business"
"44"," 1",264,"4",0,10,54,23,"blue","female","business"
"45"," 1",264,"5",0,10,64,23,"blue","female","business"
"46"," 5",265,"1",10,11.5,11.5,23,"red","male","compscie"
"47"," 5",265,"2",10,14.5,26,23,"red","male","compscie"
"48"," 5",265,"3",10,12.5,38.5,23,"red","male","compscie"
"49"," 5",265,"4",10,12,50.5,23,"red","male","compscie"
"50"," 5",265,"5",10,9.5,60,23,"red","male","compscie"
"51","10",269,"1",8,13,13,21,"blue","male","business"
"52","10",269,"2",NA,4.5,17.5,21,"blue","male","business"
"53","10",269,"3",NA,3.5,21,21,"blue","male","business"
"54","10",269,"4",1,18.5,39.5,21,"blue","male","business"
"55","10",269,"5",2,13,52.5,21,"blue","male","business"
"56"," 6",270,"1",1,17.5,17.5,24,"red","male","infosys"
"57"," 6",270,"2",1,16,33.5,24,"red","male","infosys"
"58"," 6",270,"3",1,18,51.5,24,"red","male","infosys"
"59"," 6",270,"4",1,21,72.5,24,"red","male","infosys"
"60"," 6",270,"5",10,11.5,84,24,"red","male","infosys"
"61"," 9",277,"1",5,12.5,12.5,23,"red","female","infosys"
"62"," 9",277,"2",5,10.5,23,23,"red","female","infosys"
"63"," 9",277,"3",7,11,34,23,"red","female","infosys"
"64"," 9",277,"4",10,9.5,43.5,23,"red","female","infosys"
"65"," 9",277,"5",5,12.5,56,23,"red","female","infosys"
"66"," 5",279,"1",3,18.5,18.5,25,"blue","female","other"
"67"," 5",279,"2",6,18.5,37,25,"blue","female","other"
"68"," 5",279,"3",10,12.5,49.5,25,"blue","female","other"
"69"," 5",279,"4",9,13,62.5,25,"blue","female","other"
"70"," 5",279,"5",8,11.5,74,25,"blue","female","other"
"71"," 2",281,"1",5,15,15,23,"blue","male","other"
"72"," 2",281,"2",1,12,27,23,"blue","male","other"
"73"," 2",281,"3",0,10,37,23,"blue","male","other"
"74"," 2",281,"4",0,10,47,23,"blue","male","other"
"75"," 2",281,"5",0,10,57,23,"blue","male","other"
"76"," 1",283,"1",5,9.5,9.5,20,"red","male","infosys"
"77"," 1",283,"2",9,5.5,15,20,"red","male","infosys"
"78"," 1",283,"3",10,5,20,20,"red","male","infosys"
"79"," 1",283,"4",0,10,30,20,"red","male","infosys"
"80"," 1",283,"5",0,10,40,20,"red","male","infosys"
"81"," 1",285,"1",4,10.5,10.5,22,"blue","female","econ"
"82"," 1",285,"2",0,14.5,25,22,"blue","female","econ"
"83"," 1",285,"3",0,15,40,22,"blue","female","econ"
"84"," 1",285,"4",0,10,50,22,"blue","female","econ"
"85"," 1",285,"5",0,10,60,22,"blue","female","econ"
"86"," 9",286,"1",5,12.5,12.5,22,"blue","female","other"
"87"," 9",286,"2",6,9.5,22,22,"blue","female","other"
"88"," 9",286,"3",6,12,34,22,"blue","female","other"
"89"," 9",286,"4",7,12.5,46.5,22,"blue","female","other"
"90"," 9",286,"5",7,10.5,57,22,"blue","female","other"
"91"," 4",738,"1",4,12.5,12.5,25,"blue","male","other"
"92"," 4",738,"2",6,7,19.5,25,"blue","male","other"
"93"," 4",738,"3",8,7.5,27,25,"blue","male","other"
"94"," 4",738,"4",9,8,35,25,"blue","male","other"
"95"," 4",738,"5",10,7.5,42.5,25,"blue","male","other"
"96"," 6",739,"1",5,13.5,13.5,23,"blue","female","other"
"97"," 6",739,"2",8,9,22.5,23,"blue","female","other"
"98"," 6",739,"3",7,12,34.5,23,"blue","female","other"
"99"," 6",739,"4",10,12,46.5,23,"blue","female","other"
"100"," 6",739,"5",10,11.5,58,23,"blue","female","other"
"101"," 2",740,"1",5,15,15,24,"blue","male","other"
"102"," 2",740,"2",5,8,23,24,"blue","male","other"
"103"," 2",740,"3",0,10,33,24,"blue","male","other"
"104"," 2",740,"4",0,10,43,24,"blue","male","other"
"105"," 2",740,"5",0,10,53,24,"blue","male","other"
"106"," 8",741,"1",5,18,18,25,"red","male","other"
"107"," 8",741,"2",9,15.5,33.5,25,"red","male","other"
"108"," 8",741,"3",10,13.5,47,25,"red","male","other"
"109"," 8",741,"4",10,15,62,25,"red","male","other"
"110"," 8",741,"5",10,10.5,72.5,25,"red","male","other"
"111","10",742,"1",10,11,11,25,"red","male","other"
"112","10",742,"2",0,12.5,23.5,25,"red","male","other"
"113","10",742,"3",0,11.5,35,25,"red","male","other"
"114","10",742,"4",8,11.5,46.5,25,"red","male","other"
"115","10",742,"5",0,15,61.5,25,"red","male","other"
"116"," 2",743,"1",5,15,15,23,"blue","female","other"
"117"," 2",743,"2",NA,8,23,23,"blue","female","other"
"118"," 2",743,"3",0,10,33,23,"blue","female","other"
"119"," 2",743,"4",0,10,43,23,"blue","female","other"
"120"," 2",743,"5",0,10,53,23,"blue","female","other"
"121"," 6",744,"1",5,13.5,13.5,23,"blue","female","other"
"122"," 6",744,"2",NA,12,25.5,23,"blue","female","other"
"123"," 6",744,"3",5,14,39.5,23,"blue","female","other"
"124"," 6",744,"4",5,17,56.5,23,"blue","female","other"
"125"," 6",744,"5",5,16.5,73,23,"blue","female","other"
"126"," 2",745,"1",5,0,0,23,"blue","female","business"
"127"," 8",746,"1",2,21,21,24,"blue","male","other"
"128"," 8",746,"2",4,20.5,41.5,24,"blue","male","other"
"129"," 8",746,"3",0,23.5,65,24,"blue","male","other"
"130"," 8",746,"4",0,25,90,24,"blue","male","other"
"131"," 8",746,"5",0,20.5,110.5,24,"blue","male","other"
"132"," 6",747,"1",6,12.5,12.5,26,"red","female","other"
"133"," 6",747,"2",5,12,24.5,26,"red","female","other"
"134"," 6",747,"3",5,14,38.5,26,"red","female","other"
"135"," 6",747,"4",8,14,52.5,26,"red","female","other"
"136"," 6",747,"5",8,13.5,66,26,"red","female","other"
"137"," 7",748,"1",10,11,11,21,"red","male","infosys"
"138"," 7",748,"2",9,13,24,21,"red","male","infosys"
"139"," 7",748,"3",8,15,39,21,"red","male","infosys"
"140"," 7",748,"4",9,15,54,21,"red","male","infosys"
"141"," 7",748,"5",10,10,64,21,"red","male","infosys"
"142","11",749,"1",5,17.5,17.5,23,"blue","male","econ"
"143","11",749,"2",7,18,35.5,23,"blue","male","econ"
"144","11",749,"3",9,17.5,53,23,"blue","male","econ"
"145","11",749,"4",10,18,71,23,"blue","male","econ"
"146","11",749,"5",8,18.5,89.5,23,"blue","male","econ"
"147","11",750,"1",4,18.5,18.5,22,"red","female","econ"
"148","11",750,"2",7,18,36.5,22,"red","female","econ"
"149","11",750,"3",8,18.5,55,22,"red","female","econ"
"150","11",750,"4",9,19,74,22,"red","female","econ"
"151","11",750,"5",7,19.5,93.5,22,"red","female","econ"
"152"," 3",751,"1",0,18.5,18.5,23,"red","male","other"
"153"," 3",751,"2",0,13.5,32,23,"red","male","other"
"154"," 3",751,"3",0,17,49,23,"red","male","other"
"155"," 3",751,"4",0,21.5,70.5,23,"red","male","other"
"156"," 3",751,"5",5,16.5,87,23,"red","male","other"
"157","12",752,"1",10,6,6,24,"blue","female","other"
"158","12",752,"2",10,5,11,24,"blue","female","other"
"159","12",752,"3",0,10,21,24,"blue","female","other"
"160","12",752,"4",0,11,32,24,"blue","female","other"
"161","12",752,"5",NA,10,42,24,"blue","female","other"
"162"," 8",753,"1",9,14,14,24,"blue","female","business"
"163"," 8",753,"2",9,15.5,29.5,24,"blue","female","business"
"164"," 8",753,"3",10,13.5,43,24,"blue","female","business"
"165"," 8",753,"4",10,15,58,24,"blue","female","business"
"166"," 8",753,"5",10,10.5,68.5,24,"blue","female","business"
"167","10",754,"1",0,21,21,23,"blue","female","other"
"168","10",754,"2",0,12.5,33.5,23,"blue","female","other"
"169","10",754,"3",0,11.5,45,23,"blue","female","other"
"170","10",754,"4",0,19.5,64.5,23,"blue","female","other"
"171","10",754,"5",0,15,79.5,23,"blue","female","other"
"172"," 4",755,"1",5,11.5,11.5,23,"blue","female","other"
"173"," 4",755,"2",NA,8,19.5,23,"blue","female","other"
"174"," 4",755,"3",NA,10.5,30,23,"blue","female","other"
"175"," 4",755,"4",5,12,42,23,"blue","female","other"
"176"," 4",755,"5",NA,12.5,54.5,23,"blue","female","other"
"177"," 5",756,"1",3,18.5,18.5,24,"blue","male","other"
"178"," 5",756,"2",8,16.5,35,24,"blue","male","other"
"179"," 5",756,"3",0,22.5,57.5,24,"blue","male","other"
"180"," 5",756,"4",0,22,79.5,24,"blue","male","other"
"181"," 5",756,"5",0,19.5,99,24,"blue","male","other"
"182","11",757,"1",10,12.5,12.5,24,"blue","male","business"
"183","11",757,"2",10,15,27.5,24,"blue","male","business"
"184","11",757,"3",10,16.5,44,24,"blue","male","business"
"185","11",757,"4",10,18,62,24,"blue","male","business"
"186","11",757,"5",10,16.5,78.5,24,"blue","male","business"
"187"," 4",758,"1",4,12.5,12.5,23,"blue","male","infosys"
"188"," 4",758,"2",NA,9,21.5,23,"blue","male","infosys"
"189"," 4",758,"3",3,12.5,34,23,"blue","male","infosys"
"190"," 4",758,"4",NA,14,48,23,"blue","male","infosys"
"191"," 4",758,"5",5,12.5,60.5,23,"blue","male","infosys"
"192"," 7",760,"1",4,17,17,25,"blue","male","other"
"193"," 7",760,"2",1,21,38,25,"blue","male","other"
"194"," 7",760,"3",1,22,60,25,"blue","male","other"
"195"," 7",760,"4",10,14,74,25,"blue","male","other"
"196"," 7",760,"5",1,19,93,25,"blue","male","other"
"197"," 3",761,"1",6,0,0,26,"red","female","other"
"198"," 3",761,"2",NA,7.5,7.5,26,"red","female","other"
"199"," 3",761,"3",5,12,19.5,26,"red","female","other"
"200"," 3",761,"4",7,14.5,34,26,"red","female","other"
"201"," 3",761,"5",8,13.5,47.5,26,"red","female","other"
"202"," 3",762,"1",6,12.5,12.5,23,"blue","none","business"
"203"," 3",762,"2",7,6.5,19,23,"blue","none","business"
"204"," 3",762,"3",9,8,27,23,"blue","none","business"
"205"," 3",762,"4",10,11.5,38.5,23,"blue","none","business"
"206"," 3",762,"5",10,11.5,50,23,"blue","none","business"
"207","12",763,"1",2,14,14,23,"red","male","econ"
"208","12",763,"2",NA,13,27,23,"red","male","econ"
"209","12",763,"3",NA,8,35,23,"red","male","econ"
"210","12",763,"4",2,9,44,23,"red","male","econ"
"211","12",763,"5",NA,8,52,23,"red","male","econ"
"212"," 3",765,"1",5,13.5,13.5,21,"blue","female","business"
"213"," 3",765,"2",NA,8.5,22,21,"blue","female","business"
"214"," 3",765,"3",NA,12,34,21,"blue","female","business"
"215"," 3",765,"4",6,15.5,49.5,21,"blue","female","business"
"216"," 3",765,"5",NA,15.5,65,21,"blue","female","business"
"217"," 9",766,"1",NA,17.5,17.5,22,"red","female","business"
"218"," 9",766,"2",NA,15.5,33,22,"red","female","business"
"219"," 9",766,"3",1,17,50,22,"red","female","business"
"220"," 9",766,"4",1,18.5,68.5,22,"red","female","business"
"221"," 9",766,"5",1,0,0,22,"red","female","business"
"222","11",767,"1",6,16.5,16.5,22,"blue","female","business"
"223","11",767,"2",6,19,35.5,22,"blue","female","business"
"224","11",767,"3",6,20.5,56,22,"blue","female","business"
"225","11",767,"4",7,21,77,22,"blue","female","business"
"226","11",767,"5",8,18.5,95.5,22,"blue","female","business"
