"","group","playerID","round","contribution","Payoff","TotalPayoff","age","colorPreference","gender","major"
"137","8",602,"1",5,14,14,37,"red","female","infosys"
"138","8",602,"2",10,12,26,37,"red","female","infosys"
"139","8",602,"3",6,17.5,43.5,37,"red","female","infosys"
"140","8",602,"4",1,20,63.5,37,"red","female","infosys"
"141","8",602,"5",1,17.5,81,37,"red","female","infosys"
"142","9",603,"1",NA,10,10,37,"red","female","infosys"
"143","9",603,"2",NA,10,20,37,"red","female","infosys"
"144","9",603,"3",7,6.5,26.5,37,"red","female","infosys"
"145","9",603,"4",2,9,35.5,37,"red","female","infosys"
"146","9",603,"5",1,9.5,45,37,"red","female","infosys"
